Spørsmål ID,Original ID,Spørsmål,Rekkefølge,Kategori ID,Kategori,Kategori Slug,Beskrivelse
1f0e9ead-3332-436f-84c3-66cf56af9c78,356,Barnehage bør være gratis for alle,0,62,Barn og familie,family,"Uavhengig av om barn går i privat eller offentlig barnehage, må man betale for tilbudet.  Noen mener barnehage bør være gratis for alle.  Noen mener at det kun skal bli gratis for lavinntektsfamilier.  Andre mener dagens ordning fungerer bra. "
ba0f4a94-0bed-4f9b-bfe1-1454037beee2,355,Dagens foreldrepermisjon bør utvides,1,62,Barn og familie,family,"I dag kan foreldre få permisjon i 49 uker med full utbetaling, eller 53 uker med 80 prosent utbetaling.  Noen ønsker å utvide ordningen til 53 uker med full utbetaling. Andre vil beholde dagens regler, altså 49 uker med full utbetaling. "
54f14a2c-f8b7-41c5-8918-b666208e16d2,358,Kontantstøtten bør avvikles,2,62,Barn og familie,family,"Dersom barnet ditt er mellom ett og to år og ikke går i fulltidsbarnehage, har man rett på økonomisk støtte fra staten, såkalt kontantstøtte.  Noen mener kontantstøtte er negativt for blant annet likestilling og integrering fordi det legges mer til rette for å være hjemme med barna.  Noen vil erstatte kontantstøtten med en støtte for dem som venter på barnehageplass, såkalt ventestøtte.  Andre mener kontantstøtte er positivt fordi det gir familier større valgfrihet og mer tid med barna. "
8a2473d6-0a57-4ae6-9eb6-d3e8d06e1785,359,Småbarnsfamilier bør få en ekstra ferieuke,3,62,Barn og familie,family,"Noen mener foreldre med barn under ti år bør få en ekstra ferieuke, fordi de mener det vil passe bedre med barnets ferie fra skole og barnehage, og fordi de vil gi barnefamilier mer fri.  Andre mener dette vil koste for mye. Andre er imot en ekstra ferieuke fordi de mener at det er bra at barna kommer tilbake til skolen eller barnehagen på det tidspunktet de gjør i dag. "
ca069529-adaf-400e-994a-ec23bc92839d,354,Mindre av foreldrepermisjonen bør være låst til far eller medforelder,4,62,Barn og familie,family,"I dag er foreldrepermisjonen på 49 uker totalt, og tredelt i tre nesten like lange deler: én del til hver av foreldrene og én del foreldrene kan dele fritt mellom seg.  Noen mener at tredelingen bør skrotes, og at foreldre selv bør kunne fordele hele foreldrepermisjonen fritt mellom seg.  Andre mener at delen som tilhører far eller medforelder bør kortes ned.  Andre igjen mener tredelingen fungerer godt slik den er i dag. "
573b2eff-d304-46e1-8dd3-e69fc1dfc90e,357,Det skal være lov å tjene penger på å drive barnehage,5,62,Barn og familie,family,"Barnehager kan driftes av kommunen, ideelle eller private aktører.  Noen mener det kun er ideelle aktører som bør kunne drive barnehage privat, og at det ikke bør være lov å tjene penger på driften.  Andre mener private aktører kan være et fint supplement til de offentlige og ideelle aktørene. "
69f66f2e-f20e-413c-afcd-9f9e340a4874,361,Staten bør finansiere gratis prevensjon til alle,6,62,Barn og familie,family,I dag får kvinner mellom 16 og 21 år økonomisk støtte til prevensjon fra staten.  Noen mener denne ordningen bør utvides noe.  Noen mener gratis prevensjon bør gis til enkelte aldersgrupper. Andre vil gi gratis prevensjon til alle.  Andre igjen mener dagens ordning er god nok. 
4445258b-e56a-49d4-96ea-8775aa83b583,360,Å tjene penger på å drive barnevernsinstitusjon bør forbys,7,62,Barn og familie,family,I dag kan kommersielle aktører drive barnevernsinstitusjoner.  Noen mener det er feil å tjene penger på barnevernet og at dette kan føre til et profittjag i tjenesten.  Andre mener at det er bra at private aktører kan supplere det kommunale barnevernet. 
05d29844-e32b-4127-95de-d09cdbd05dcc,362,SFO bør være gratis,8,62,Barn og familie,family,"Noen mener skolefritidsordningen (SFO) (enkelte steder kalt aktivitetsskolen (AKS)) bør være helt gratis for alle.  Noen mener at kun lavinntektsfamilier burde få det, og noen vil redusere prisene for alle.  Andre igjen mener at det blir for dyrt å redusere prisene for SFO."
4e0960a7-8856-4957-bf6f-cc101c2c9ef5,363,Norge bør ta imot flere kvoteflyktninger enn vi gjør i dag,9,61,Innvandring og integrering,immigration,Kvoteflyktninger er flyktninger FN har vurdert og bestemt at trenger beskyttelse. Det er Stortinget som avgjør hvor mange kvoteflyktninger Norge skal ta imot i året. I 2025 skal Norge skal ta imot 500 kvoteflyktninger. Dette er en nedgang fra de siste par årene.  Noen mener vi ikke skal ta imot noen kvoteflyktninger.  Noen mener dagens nivå er bra slik det er i dag.  Andre vil ta imot langt flere kvoteflyktninger enn vi gjør i dag.
acfad062-76c6-4688-a11a-447561f26d30,365,Det bør innføres forbud mot å bruke hijab i grunnskolen,10,61,Innvandring og integrering,immigration,"I dag er det lov for barn å bruke hijab i grunnskolen, ifølge Grunnloven.  Noen mener at barn ikke burde få lov til å bruke hijab på barne- og ungdomsskolen fordi de mener det hindrer likestilling og fordi de frykter at disse barna opplever undertrykkelse.  Noen mener et forbud mot hijab vil skape utenforskap og segregering dersom forbudet medfører at foreldre for eksempel velger å ta disse barna ut av skolen.  Andre igjen mener dette må være opp til foreldrene å vurdere dette. "
